timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
261126276,32767,32767,-120,32767,-61,-64,32767
261130298,32767,32767,32767,32767,32767,32767,32767
261134268,32767,32767,32767,32767,32767,-40,32767
261138269,32767,32767,32767,32767,-71,32767,32767
261142268,32767,32767,32767,32767,32767,32767,32767
261146285,32767,32767,32767,32767,32767,-64,32767
261150275,32767,32767,32767,32767,32767,32767,32767
261154269,32767,32767,32767,32767,32767,-40,32767
261158268,32767,32767,32767,32767,-62,32767,32767
261162269,32767,32767,32767,32767,32767,32767,32767
261166268,32767,32767,32767,32767,32767,-64,32767
261170275,32767,32767,32767,32767,-71,32767,32767
261174268,32767,32767,32767,32767,32767,-40,32767
261178268,32767,32767,32767,32767,-41,32767,32767
261182269,32767,32767,32767,32767,32767,32767,32767
261186271,32767,32767,32767,32767,32767,-63,32767
261190275,32767,32767,32767,32767,32767,32767,32767
261194277,32767,32767,32767,32767,32767,-40,32767
261198269,32767,32767,32767,32767,32767,32767,32767
261202268,32767,32767,32767,32767,-71,32767,32767
261206268,32767,32767,32767,32767,32767,-72,32767
261210276,32767,32767,32767,32767,-41,32767,32767
261214307,32767,32767,32767,32767,32767,-41,32767
261218269,32767,32767,32767,32767,32767,32767,32767
261222269,32767,32767,32767,32767,-52,32767,32767
261226279,32767,32767,32767,32767,32767,-72,32767
261230275,32767,32767,32767,32767,32767,32767,32767
261234294,32767,32767,32767,32767,32767,-40,32767
261238269,32767,32767,32767,32767,32767,32767,32767
261242269,32767,32767,32767,32767,32767,32767,32767
261246269,32767,32767,32767,32767,-68,-72,32767
261250275,32767,32767,32767,32767,32767,32767,32767
261254299,32767,32767,32767,32767,-42,-40,32767
261258269,32767,32767,32767,32767,32767,32767,32767
261262269,32767,32767,32767,32767,32767,32767,32767
261266269,32767,32767,32767,32767,-62,-72,32767
261270274,32767,32767,32767,32767,32767,32767,32767
261274298,32767,32767,32767,32767,32767,-40,32767
261278290,32767,32767,32767,32767,32767,32767,32767
261282270,32767,32767,32767,32767,32767,32767,32767
261286269,32767,32767,32767,32767,-52,-72,32767
261290269,32767,32767,32767,32767,32767,32767,32767
261294301,32767,32767,32767,32767,32767,32767,32767
261298275,32767,32767,32767,32767,-62,32767,32767
261302269,32767,32767,32767,32767,32767,-40,32767
261306269,32767,32767,32767,32767,32767,32767,32767
261310270,32767,32767,32767,32767,-69,32767,32767
261314268,32767,32767,32767,32767,32767,-64,32767
261318277,32767,32767,32767,32767,32767,32767,32767
261322273,32767,32767,32767,32767,32767,-40,32767
261326269,32767,32767,-52,32767,32767,32767,32767
261330269,32767,32767,32767,32767,-52,32767,32767
261334269,32767,32767,32767,32767,32767,-64,32767
261338275,32767,32767,32767,32767,32767,32767,32767
261342273,32767,32767,32767,32767,-62,-40,32767
261346269,32767,32767,32767,32767,32767,32767,32767
261350269,32767,32767,32767,32767,32767,32767,32767
261354268,32767,32767,32767,32767,-72,-64,32767
261358275,32767,32767,32767,32767,32767,32767,32767
261362308,32767,32767,32767,32767,32767,-41,32767
261366269,32767,32767,32767,32767,32767,32767,32767
261370273,32767,32767,32767,32767,32767,32767,32767
261374269,32767,32767,32767,32767,-59,-64,32767
261378275,32767,32767,32767,32767,32767,32767,32767
261382308,32767,32767,32767,32767,32767,-41,32767
261386269,32767,32767,32767,32767,-71,32767,32767
261390268,32767,32767,32767,32767,32767,32767,32767
261394269,32767,32767,32767,32767,32767,-64,32767
261398276,32767,32767,32767,32767,-66,32767,32767
261402292,32767,32767,32767,32767,32767,-40,32767
261406278,32767,32767,32767,32767,32767,32767,32767
261410269,32767,32767,32767,32767,32767,32767,32767
261414269,32767,32767,32767,32767,32767,-72,32767
261418275,32767,32767,32767,32767,-49,32767,32767
261422297,32767,32767,32767,32767,32767,-40,32767
261426272,32767,32767,32767,32767,32767,32767,32767
261430269,32767,32767,32767,32767,-62,32767,32767
261434269,32767,32767,32767,32767,32767,-72,32767
261438275,32767,32767,32767,32767,32767,32767,32767
261442269,32767,32767,32767,32767,-69,-40,32767
261446286,32767,32767,32767,32767,32767,32767,32767
261450275,32767,32767,32767,32767,32767,32767,32767
261454269,32767,32767,32767,32767,32767,-72,32767
261458283,32767,32767,32767,32767,32767,32767,32767
261462269,32767,32767,32767,32767,-49,-40,32767
261466313,32767,32767,32767,32767,32767,32767,32767
261470272,32767,32767,32767,32767,32767,32767,32767
