timestamp,rollspeed,pitchspeed,yawspeed,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
378036820,-0.0062694605,-0.012132407,0.012473154,0.008244614,-0.013106191,-0.010252205,0.0
378068883,0.0010244306,0.076766685,0.01134542,0.008252951,-0.013150251,-0.010282171,0.0
378100815,0.0021908395,0.048120864,0.008477214,0.008236525,-0.013232728,-0.0103203375,0.0
378132873,0.05647832,0.01730881,-0.0039267205,0.008303184,-0.01320631,-0.010350052,0.0
378164836,0.07271661,0.03619009,0.000976662,0.008298344,-0.013198271,-0.010370469,0.0
378196885,0.05206252,-0.016865056,0.011903349,0.00826543,-0.013205406,-0.010384751,0.0
378228804,0.006844543,-0.025491752,0.013878077,0.0083041135,-0.013201047,-0.010387024,0.0
378260854,0.041216325,-0.06027603,0.0081400415,0.008256721,-0.013194256,-0.010399879,0.0
378292843,0.025021045,-0.050404146,-0.003482658,0.008131591,-0.013095401,-0.010420103,0.0
378324841,-0.05522616,0.04691381,-0.00031508342,0.008078217,-0.013032428,-0.010425375,0.0
378352851,0.002876178,0.10167638,0.0019624126,0.00808642,-0.013081041,-0.010424357,0.0
378384877,0.033602368,0.061173566,0.008835933,0.008101721,-0.013164937,-0.010443697,0.0
378416808,-0.020027215,-0.07727971,0.013135783,0.008127164,-0.013075177,-0.010475967,0.0
378448843,-0.06356092,-0.091717556,0.022809563,0.008210898,-0.012900303,-0.01051417,0.0
378480854,0.031953603,-0.010219777,0.020271696,0.00817201,-0.012880058,-0.010547999,0.0
378512900,-0.035690464,-0.008803386,0.0052410355,0.008145498,-0.0129058305,-0.010564011,0.0
378544804,-0.03488408,-0.029045483,-0.0032765942,0.008233715,-0.01281055,-0.010583351,0.0
378576828,-0.016018404,-0.055509347,0.00096230337,0.008330743,-0.012623174,-0.01061305,0.0
378604815,0.020571992,0.010979611,0.008372746,0.008363954,-0.012498863,-0.0106258895,0.0
378636847,0.14396808,0.08415287,0.001097932,0.008307233,-0.012481537,-0.010648094,0.0
378668072,0.10074721,-0.00012290393,0.008131536,0.008183489,-0.012514745,-0.010673787,0.0
378700004,-0.070805795,-0.032483365,0.019449446,0.008115138,-0.0125107365,-0.0107272,0.0
378732004,-0.16205694,0.03977904,0.0024138174,0.008192374,-0.012471291,-0.010775435,0.0
378764043,-0.10059937,0.14918938,-0.017706059,0.008429315,-0.012518007,-0.010764346,0.0
378796067,0.06999855,-0.04041045,0.029232655,0.008558046,-0.012549786,-0.010798793,0.0
378828043,0.109262764,-0.19263223,-0.0055981856,0.008500449,-0.012407016,-0.01080548,0.0
378860011,0.05469935,-0.12704405,-0.012799334,0.008312248,-0.012124764,-0.010781287,0.0
378892106,-0.06366409,0.104256175,0.000621607,0.0082001155,-0.011949889,-0.010808578,0.0
378920057,-0.015682252,0.08799931,0.008569101,0.008201458,-0.012002331,-0.010831498,0.0
378952033,-0.05594846,0.09311012,0.013889786,0.008299071,-0.012117275,-0.010878838,0.0
378984048,-0.029918732,0.023266766,0.028341355,0.008377905,-0.012156124,-0.0109442035,0.0
379016051,0.053606473,0.042615175,0.025216704,0.008434374,-0.012185504,-0.010993177,0.0
379048015,0.080127925,0.09084075,0.010492111,0.008401405,-0.012232705,-0.011030483,0.0
379080047,0.0811353,0.012659366,0.01977506,0.008257712,-0.0122518325,-0.011073379,0.0
379112040,-0.031788096,-0.09444998,0.020154035,0.008255031,-0.012118002,-0.011078496,0.0
379140035,-0.1101008,0.0068620257,-0.0056733056,0.0084138,-0.012016578,-0.011076771,0.0
379172103,0.012326417,0.13282342,0.010870452,0.008538946,-0.012102118,-0.011086691,0.0
379204004,0.14646006,0.045038827,0.017123045,0.008437349,-0.0122157335,-0.011117231,0.0
379236004,0.07209339,-0.044842355,0.013122517,0.008241593,-0.012232507,-0.011138624,0.0
379268022,-0.064186946,-0.0670634,0.01592224,0.008187915,-0.012251921,-0.011143749,0.0
379300048,-0.08348362,-0.097090185,0.013562685,0.008287251,-0.012181127,-0.011146041,0.0
379332049,0.007156372,-0.015545373,0.007813626,0.008363924,-0.012052015,-0.01115347,0.0
379364004,0.09020804,0.0680937,0.0054642186,0.008318776,-0.012050227,-0.011168057,0.0
379396096,0.048393372,0.06111958,0.004187287,0.008276556,-0.012145146,-0.011174135,0.0
379427208,0.015098133,0.030486556,0.01295022,0.008284162,-0.012232748,-0.011182943,0.0
379455255,-0.0056701307,0.0066430625,0.00942028,0.008275238,-0.012251414,-0.011185689,0.0
379490493,0.0056457673,-0.030471316,0.010360835,0.008245411,-0.012161174,-0.011208375,0.0
379519277,0.07502014,0.07304064,0.0036078382,0.008177577,-0.01218624,-0.011191052,0.0
379550463,0.07830989,-0.013222886,0.015736252,0.008117032,-0.012292461,-0.011187696,0.0
379583249,-0.076927125,-0.16071165,0.014316681,0.008046086,-0.012209415,-0.011191685,0.0
379615211,-0.09781722,-0.06484375,-0.007061165,0.008073835,-0.012003696,-0.011195093,0.0
379647228,0.015139719,0.02525612,-0.008535876,0.008093363,-0.011855675,-0.011146427,0.0
379679283,0.16641347,0.023316756,0.02180348,0.007960219,-0.011835222,-0.01113477,0.0
