timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,vision_attitude_timestamp_rel,vision_position_timestamp_rel
389183227,32767,-15,32767,32767,32767,32767,32767,32767
389187264,32767,32767,32767,32767,32767,32767,32767,32767
389191221,32767,32767,32767,32767,-58,32767,32767,32767
389195222,32767,32767,-33,32767,32767,32767,32767,32767
389199222,32767,32767,32767,32767,32767,32767,32767,32767
389203221,32767,32767,32767,32767,32767,-63,32767,32767
389207255,32767,32767,32767,32767,32767,32767,32767,32767
389211221,32767,32767,32767,32767,32767,32767,32767,32767
389215248,32767,-17,32767,32767,-66,32767,32767,32767
389219221,32767,32767,32767,32767,32767,32767,32767,32767
389223222,32767,32767,32767,32767,32767,32767,32767,32767
389227231,32767,32767,32767,32767,-66,-63,32767,32767
389231221,32767,32767,32767,32767,32767,32767,32767,32767
389235221,32767,32767,32767,32767,32767,32767,32767,32767
389239221,32767,32767,32767,32767,-68,32767,32767,32767
389243238,32767,32767,32767,32767,32767,32767,32767,32767
389247221,32767,-13,32767,32767,32767,32767,32767,32767
389251220,32767,32767,32767,32767,32767,-82,32767,32767
389255223,32767,32767,32767,32767,32767,32767,32767,32767
389259222,32767,32767,32767,32767,-58,32767,32767,32767
389263231,32767,32767,32767,32767,32767,32767,32767,32767
389267221,32767,32767,32767,32767,32767,32767,32767,32767
389271233,32767,32767,32767,32767,-68,32767,32767,32767
389275222,32767,32767,32767,32767,32767,-58,32767,32767
389279221,32767,-13,32767,32767,-43,32767,32767,32767
389283222,32767,32767,32767,32767,32767,32767,32767,32767
389287221,32767,32767,32767,32767,32767,32767,32767,32767
389291225,32767,32767,32767,32767,32767,32767,32767,32767
389295222,32767,32767,32767,32767,32767,32767,32767,32767
389299248,32767,32767,32767,32767,32767,-60,32767,32767
389303222,32767,32767,32767,32767,-68,32767,32767,32767
389307222,32767,32767,32767,32767,32767,32767,32767,32767
389311226,32767,-23,32767,32767,32767,32767,32767,32767
389315222,32767,32767,32767,32767,-62,32767,32767,32767
389319221,32767,32767,32767,32767,32767,32767,32767,32767
389323222,32767,32767,32767,32767,32767,-60,32767,32767
389327249,32767,32767,32767,32767,-73,32767,32767,32767
389331222,32767,32767,32767,32767,32767,32767,32767,32767
389335246,32767,32767,32767,32767,32767,32767,32767,32767
389339222,32767,32767,32767,32767,32767,32767,32767,32767
389343251,32767,-13,32767,32767,32767,32767,32767,32767
389347221,32767,32767,32767,32767,-52,-82,32767,32767
389351222,32767,32767,32767,32767,32767,32767,32767,32767
389355266,32767,32767,32767,32767,32767,32767,32767,32767
389359222,32767,32767,32767,32767,-68,32767,32767,32767
389363272,32767,32767,32767,32767,32767,32767,32767,32767
389367222,32767,32767,32767,32767,32767,32767,32767,32767
389371222,32767,32767,32767,32767,-53,-53,32767,32767
389375271,32767,-15,32767,32767,32767,32767,32767,32767
389379228,32767,32767,32767,32767,32767,32767,32767,32767
389383244,32767,32767,32767,32767,32767,32767,32767,32767
389387221,32767,32767,32767,32767,32767,32767,32767,32767
389391221,32767,32767,32767,32767,32767,32767,32767,32767
389395221,32767,32767,-47,32767,-53,-52,32767,32767
389399268,32767,32767,32767,32767,32767,32767,32767,32767
389403222,32767,32767,32767,32767,32767,32767,32767,32767
389407222,32767,-21,32767,32767,-62,32767,32767,32767
389411248,32767,32767,32767,32767,32767,32767,32767,32767
389415222,32767,32767,32767,32767,32767,32767,32767,32767
389419220,32767,32767,32767,32767,-53,-53,32767,32767
389423221,32767,32767,32767,32767,32767,32767,32767,32767
389427222,32767,32767,32767,32767,32767,32767,32767,32767
389432044,32767,32767,32767,32767,32767,32767,32767,32767
389436822,32767,-7,32767,32767,32767,32767,32767,32767
389440827,32767,32767,32767,32767,-46,32767,32767,32767
389444821,32767,32767,32767,32767,32767,-85,32767,32767
389448821,32767,32767,32767,32767,32767,32767,32767,32767
389452823,32767,32767,32767,32767,-62,32767,32767,32767
389456824,32767,32767,32767,32767,32767,32767,32767,32767
389460822,32767,32767,32767,32767,32767,32767,32767,32767
389464821,32767,32767,32767,32767,-60,-59,32767,32767
389468822,32767,-10,32767,32767,32767,32767,32767,32767
389472822,32767,32767,32767,32767,32767,32767,32767,32767
389476830,32767,32767,32767,32767,32767,32767,32767,32767
389480827,32767,32767,32767,32767,32767,32767,32767,32767
389484829,32767,32767,32767,32767,-44,32767,32767,32767
389488822,32767,32767,32767,32767,32767,-62,32767,32767
389492822,32767,32767,32767,32767,32767,32767,32767,32767
389496851,32767,32767,32767,32767,-58,32767,32767,32767
389500827,32767,-2,32767,32767,32767,32767,32767,32767
389504822,32767,32767,32767,32767,-41,32767,32767,32767
389508822,32767,32767,32767,32767,32767,32767,32767,32767
389512822,32767,32767,32767,32767,32767,-84,32767,32767
389516870,32767,32767,32767,32767,32767,32767,32767,32767
389520822,32767,32767,32767,32767,32767,32767,32767,32767
389524822,32767,32767,32767,32767,32767,32767,32767,32767
389528822,32767,32767,32767,32767,-55,32767,32767,32767
389532823,32767,-11,32767,32767,32767,32767,32767,32767
389536849,32767,32767,32767,32767,32767,32767,32767,32767
389540830,32767,32767,32767,32767,-70,-89,32767,32767
389544822,32767,32767,32767,32767,32767,32767,32767,32767
389548821,32767,32767,32767,32767,-43,32767,32767,32767
389552822,32767,32767,32767,32767,32767,32767,32767,32767
389556846,32767,32767,32767,32767,32767,32767,32767,32767
389560851,32767,32767,32767,32767,32767,-58,32767,32767
389564822,32767,-6,32767,32767,32767,32767,32767,32767
389568822,32767,32767,32767,32767,32767,32767,32767,32767
389572827,32767,32767,32767,32767,-71,32767,32767,32767
389576822,32767,32767,32767,32767,32767,32767,32767,32767
389580822,32767,32767,32767,32767,-44,32767,32767,32767
389584822,32767,32767,32767,32767,32767,-63,32767,32767
389588822,32767,32767,32767,32767,32767,32767,32767,32767
389592827,32767,32767,32767,32767,-58,32767,32767,32767
389596822,32767,-7,-54,32767,32767,32767,32767,32767
389600822,32767,32767,32767,32767,32767,32767,32767,32767
389604822,32767,32767,32767,32767,32767,32767,32767,32767
389608821,32767,32767,32767,32767,32767,-63,32767,32767
389612822,32767,32767,32767,32767,-54,32767,32767,32767
389616822,32767,32767,32767,32767,32767,32767,32767,32767
389620871,32767,32767,32767,32767,32767,32767,32767,32767
389624836,32767,32767,32767,32767,-54,32767,32767,32767
389628851,32767,-7,32767,32767,32767,32767,32767,32767
389632822,32767,32767,32767,32767,32767,32767,32767,32767
389636822,32767,32767,32767,32767,-70,-85,32767,32767
389640822,32767,32767,32767,32767,32767,32767,32767,32767
389644861,32767,32767,32767,32767,32767,32767,32767,32767
389648822,32767,32767,32767,32767,32767,32767,32767,32767
389652822,32767,32767,32767,32767,32767,32767,32767,32767
389656822,32767,32767,32767,32767,-59,-58,32767,32767
389660821,32767,-7,32767,32767,32767,32767,32767,32767
389664869,32767,32767,32767,32767,32767,32767,32767,32767
389668822,32767,32767,32767,32767,-74,32767,32767,32767
389672822,32767,32767,32767,32767,32767,32767,32767,32767
389676822,32767,32767,32767,32767,-54,32767,32767,32767
389680822,32767,32767,32767,32767,32767,-62,32767,32767
389684838,32767,32767,32767,32767,32767,32767,32767,32767
389688822,32767,32767,32767,32767,32767,32767,32767,32767
389692832,32767,-3,32767,32767,32767,32767,32767,32767
389696822,32767,32767,32767,32767,32767,32767,32767,32767
389700822,32767,32767,32767,32767,-70,32767,32767,32767
389704871,32767,32767,32767,32767,32767,32767,32767,32767
389708822,32767,32767,32767,32767,-54,-83,32767,32767
389712821,32767,32767,32767,32767,32767,32767,32767,32767
389716822,32767,32767,32767,32767,32767,32767,32767,32767
389720822,32767,32767,32767,32767,-47,32767,32767,32767
389724833,32767,-1,32767,32767,32767,32767,32767,32767
389728822,32767,32767,32767,32767,32767,32767,32767,32767
389732822,32767,32767,32767,32767,32767,-76,32767,32767
389736828,32767,32767,32767,32767,32767,32767,32767,32767
389740822,32767,32767,32767,32767,-44,32767,32767,32767
389744822,32767,32767,32767,32767,32767,32767,32767,32767
389748823,32767,32767,32767,32767,32767,32767,32767,32767
389752822,32767,32767,32767,32767,-49,32767,32767,32767
389756828,32767,-1,32767,32767,32767,-87,32767,32767
