timestamp,error_count,device_id,x,y,z,temperature,scaling,x_raw,y_raw,z_raw,is_external
78545902,0,263178,0.19366291,-0.063312046,0.29546893,50.059216,0.0015,237,-149,-213,0
78645901,0,263178,0.18645506,-0.05286345,0.31970245,50.065205,0.0015,231,-145,-229,0
78737102,0,263178,0.16843536,-0.05286345,0.31061488,50.071198,0.0015,231,-135,-223,0
78847532,0,263178,0.17924717,-0.038931984,0.2984981,50.086174,0.0015,223,-141,-215,0
78947501,0,263178,0.2062767,-0.033707686,0.3060711,50.098152,0.0015,220,-156,-220,0
79058701,0,263178,0.20447473,-0.05982918,0.2924397,50.128105,0.0015,235,-155,-211,0
79158701,0,263178,0.20267276,-0.040673416,0.28183755,50.10714,0.0015,224,-154,-204,0
79259502,0,263178,0.20807867,-0.038931984,0.28335217,50.077187,0.0015,223,-157,-205,0
79359540,0,263178,0.21889049,-0.045897715,0.2924397,50.116123,0.0015,227,-163,-211,0
79461107,0,263178,0.18645506,-0.04241485,0.28941053,50.071198,0.0015,225,-145,-209,0
79561136,0,263178,0.1774452,-0.06853635,0.30910027,50.10714,0.0015,240,-140,-222,0
79661955,0,263178,0.16302946,-0.1242622,0.29092512,50.128105,0.0015,272,-132,-210,0
79772324,0,263178,0.17924717,-0.1294865,0.27426457,50.140087,0.0015,275,-141,-199,0
79873116,0,263178,0.16122748,-0.12252076,0.29546893,50.110134,0.0015,271,-131,-213,0
79973123,0,263178,0.18825701,-0.14167652,0.29395434,50.12511,0.0015,282,-146,-212,0
80074702,0,263178,0.18104914,-0.120779335,0.27880836,50.134094,0.0015,270,-142,-202,0
80174701,0,263178,0.20267276,-0.14864226,0.28486675,50.134094,0.0015,286,-154,-206,0
80275502,0,263178,0.15942553,-0.1451594,0.28789595,50.116123,0.0015,284,-130,-208,0
80375502,0,263178,0.18104914,-0.15212512,0.28486675,50.10714,0.0015,288,-142,-206,0
80477133,0,263178,0.19366291,-0.12252076,0.3015273,50.128105,0.0015,271,-149,-217,0
80577102,0,263178,0.17564324,-0.11555503,0.28335217,50.140087,0.0015,267,-139,-205,0
80686736,0,263178,0.15582158,-0.0929164,0.3030419,50.13709,0.0015,254,-128,-218,0
80788345,0,263178,0.18104914,-0.051122013,0.28486675,50.146076,0.0015,230,-142,-206,0
81089101,0,263178,0.17564324,-0.038931984,0.29546893,50.140087,0.0015,223,-139,-213,0
81190736,0,263178,0.17564324,-0.05286345,0.2924397,50.188007,0.0015,231,-139,-211,0
81290701,0,263178,0.16843536,-0.028483387,0.28335217,50.17303,0.0015,217,-135,-205,0
81391503,0,263178,0.15762354,-0.045897715,0.3075857,50.14308,0.0015,227,-129,-221,0
81491534,0,263178,0.17023733,-0.044156283,0.3000127,50.202984,0.0015,226,-136,-216,0
81602702,0,263178,0.20447473,-0.04241485,0.28941053,50.179024,0.0015,225,-155,-209,0
81702702,0,263178,0.17564324,-0.05286345,0.32576084,50.17303,0.0015,231,-139,-233,0
81804302,0,263178,0.17564324,-0.06679491,0.31061488,50.17303,0.0015,239,-139,-223,0
81904304,0,263178,0.1954649,-0.044156283,0.28183755,50.17603,0.0015,226,-150,-204,0
82004302,0,263178,0.15401962,-0.038931984,0.3045565,50.20598,0.0015,223,-127,-219,0
82105102,0,263178,0.20988064,-0.040673416,0.31212947,50.188007,0.0015,224,-158,-224,0
82206713,0,263178,0.1774452,-0.058087748,0.31212947,50.17603,0.0015,234,-140,-224,0
82306701,0,263178,0.18825701,-0.026741955,0.3000127,50.21197,0.0015,216,-146,-216,0
82416302,0,263178,0.2008708,-0.026741955,0.24700184,50.20598,0.0015,216,-153,-181,0
82507502,0,263178,0.19726686,-0.0110690575,0.2984981,50.208973,0.0015,207,-151,-215,0
82617909,0,263178,0.17023733,0.0011209719,0.31818786,50.164047,0.0015,200,-136,-228,0
82718702,0,263178,0.1954649,0.008086704,0.29395434,50.244915,0.0015,196,-150,-212,0
82820336,0,263178,0.20807867,0.034208197,0.3015273,50.194,0.0015,181,-157,-217,0
82920302,0,263178,0.1954649,0.039432496,0.3030419,50.244915,0.0015,178,-150,-218,0
83020302,0,263178,0.18285112,0.051622525,0.31364408,50.196995,0.0015,171,-143,-225,0
83121902,0,263178,0.22069246,0.046398226,0.3060711,50.191,0.0015,174,-164,-220,0
83231502,0,263178,0.16122748,0.06555399,0.3075857,50.214966,0.0015,163,-131,-221,0
83332303,0,263178,0.19005898,0.07251972,0.2984981,50.22395,0.0015,159,-147,-215,0
84449102,0,263178,0.121584184,0.16655709,0.29546893,50.214966,0.0015,105,-109,-213,0
84549902,0,263178,0.121584184,0.15959138,0.2984981,50.23593,0.0015,109,-109,-215,0
84649902,0,263178,0.12338615,0.17178139,0.3030419,50.24192,0.0015,102,-110,-218,0
84749901,0,263178,0.13599993,0.16655709,0.31970245,50.274868,0.0015,105,-117,-229,0
84849940,0,263178,0.11077237,0.17352283,0.2924397,50.250908,0.0015,101,-103,-211,0
84952333,0,263178,0.121584184,0.16655709,0.29546893,50.253902,0.0015,105,-109,-213,0
85052302,0,263178,0.094554655,0.15784994,0.2969835,50.244915,0.0015,110,-94,-214,0
85152322,0,263178,0.107168436,0.19442002,0.28335217,50.253902,0.0015,89,-101,-205,0
85252302,0,263178,0.10356449,0.1770057,0.28941053,50.280857,0.0015,99,-99,-209,0
85363502,0,263178,0.09635662,0.1770057,0.2984981,50.226944,0.0015,99,-95,-215,0
85463502,0,263178,0.094554655,0.19616146,0.2969835,50.26888,0.0015,88,-94,-214,0
85565143,0,263178,0.09635662,0.19442002,0.2924397,50.283855,0.0015,89,-95,-211,0
85665901,0,263178,0.09095072,0.18222998,0.29395434,50.271873,0.0015,96,-92,-212,0
85765901,0,263178,0.08194087,0.18745428,0.27426457,50.289845,0.0015,93,-87,-199,0
85865940,0,263178,0.07653497,0.21705866,0.27880836,50.253902,0.0015,76,-84,-202,0
85965901,0,263178,0.11798024,0.298906,0.2318559,50.31081,0.0015,29,-107,-171,0
86068305,0,263178,0.094554655,0.29368168,0.24548726,50.31081,0.0015,32,-94,-180,0
86168344,0,263178,0.11257434,0.31109604,0.24245808,50.256897,0.0015,22,-104,-178,0
