timestamp,min_distance,max_distance,current_distance,covariance,signal_quality,type,id,orientation
202600383,0.01,50.0,2.7,0.0,64,0,4,6
202632315,0.01,50.0,2.6799998,0.0,64,0,4,6
202664382,0.01,50.0,2.69,0.0,64,0,4,6
202696754,0.01,50.0,2.6799998,0.0,64,0,4,6
202728763,0.01,50.0,2.6599998,0.0,64,0,4,6
202760341,0.01,50.0,2.6699998,0.0,64,0,4,6
202792748,0.01,50.0,2.6299999,0.0,0,0,4,6
202824293,0.01,50.0,2.6299999,0.0,64,0,4,6
202856325,0.01,50.0,2.62,0.0,64,0,4,6
202888971,0.01,50.0,2.59,0.0,64,0,4,6
202920745,0.01,50.0,2.56,0.0,64,0,4,6
202952752,0.01,50.0,2.53,0.0,0,0,4,6
202984473,0.01,50.0,2.51,0.0,64,0,4,6
203016605,0.01,50.0,2.52,0.0,4,0,4,6
203048741,0.01,50.0,2.5,0.0,64,0,4,6
203080480,0.01,50.0,2.47,0.0,0,0,4,6
203112748,0.01,50.0,2.47,0.0,64,0,4,6
203144758,0.01,50.0,2.44,0.0,56,0,4,6
203175747,0.01,50.0,2.4299998,0.0,64,0,4,6
203207807,0.01,50.0,2.3999999,0.0,0,0,4,6
203239823,0.01,50.0,2.3999999,0.0,64,0,4,6
203271747,0.01,50.0,2.37,0.0,64,0,4,6
203302945,0.01,50.0,2.36,0.0,0,0,4,6
203334856,0.01,50.0,2.35,0.0,64,0,4,6
203367154,0.01,50.0,2.31,0.0,64,0,4,6
203399742,0.01,50.0,2.32,0.0,64,0,4,6
203431359,0.01,50.0,2.3,0.0,4,0,4,6
203463711,0.01,50.0,2.3,0.0,4,0,4,6
203494870,0.01,50.0,2.3,0.0,0,0,4,6
203526825,0.01,50.0,2.27,0.0,0,0,4,6
203558880,0.01,50.0,2.25,0.0,64,0,4,6
203590504,0.01,50.0,2.27,0.0,0,0,4,6
203623054,0.01,50.0,2.27,0.0,64,0,4,6
203654853,0.01,50.0,2.26,0.0,64,0,4,6
203686517,0.01,50.0,2.24,0.0,4,0,4,6
203719047,0.01,50.0,2.24,0.0,64,0,4,6
203750879,0.01,50.0,2.23,0.0,64,0,4,6
203782535,0.01,50.0,2.22,0.0,4,0,4,6
203816152,0.01,50.0,2.2,0.0,4,0,4,6
203847800,0.01,50.0,2.21,0.0,64,0,4,6
203879767,0.01,50.0,2.19,0.0,64,0,4,6
203911424,0.01,50.0,2.2,0.0,0,0,4,6
203943766,0.01,50.0,2.18,0.0,0,0,4,6
203974935,0.01,50.0,2.1499999,0.0,0,0,4,6
204005797,0.01,50.0,2.1699998,0.0,64,0,4,6
204037969,0.01,50.0,2.1399999,0.0,0,0,4,6
204069741,0.01,50.0,2.1399999,0.0,64,0,4,6
204101766,0.01,50.0,2.12,0.0,64,0,4,6
204132898,0.01,50.0,2.1,0.0,64,0,4,6
204164485,0.01,50.0,2.1,0.0,0,0,4,6
204196510,0.01,50.0,2.05,0.0,64,0,4,6
204228343,0.01,50.0,2.07,0.0,64,0,4,6
204260521,0.01,50.0,2.05,0.0,64,0,4,6
204292646,0.01,50.0,2.04,0.0,64,0,4,6
204324527,0.01,50.0,2.01,0.0,64,0,4,6
204356683,0.01,50.0,1.99,0.0,-72,0,4,6
204388234,0.01,50.0,1.9799999,0.0,64,0,4,6
204420447,0.01,50.0,1.9599999,0.0,0,0,4,6
204452678,0.01,50.0,1.9399999,0.0,64,0,4,6
204484974,0.01,50.0,1.92,0.0,64,0,4,6
204516300,0.01,50.0,1.9,0.0,64,0,4,6
204548337,0.01,50.0,1.87,0.0,0,0,4,6
204580943,0.01,50.0,1.86,0.0,64,0,4,6
204612200,0.01,50.0,1.8399999,0.0,64,0,4,6
204644148,0.01,50.0,1.8199999,0.0,64,0,4,6
204676765,0.01,50.0,1.8199999,0.0,64,0,4,6
204708918,0.01,50.0,1.78,0.0,64,0,4,6
204740373,0.01,50.0,1.77,0.0,0,0,4,6
204773428,0.01,50.0,1.76,0.0,64,0,4,6
204804764,0.01,50.0,1.74,0.0,64,0,4,6
204836122,0.01,50.0,1.7099999,0.0,64,0,4,6
204867371,0.01,50.0,1.7199999,0.0,4,0,4,6
204899841,0.01,50.0,1.6999999,0.0,4,0,4,6
204932694,0.01,50.0,1.68,0.0,4,0,4,6
204964720,0.01,50.0,1.68,0.0,4,0,4,6
204996905,0.01,50.0,1.68,0.0,4,0,4,6
205028967,0.01,50.0,1.67,0.0,4,0,4,6
205061257,0.01,50.0,1.66,0.0,0,0,4,6
205093156,0.01,50.0,1.64,0.0,0,0,4,6
205125297,0.01,50.0,1.64,0.0,64,0,4,6
205157169,0.01,50.0,1.63,0.0,0,0,4,6
205189122,0.01,50.0,1.61,0.0,64,0,4,6
205220977,0.01,50.0,1.61,0.0,64,0,4,6
205251803,0.01,50.0,1.5799999,0.0,4,0,4,6
205283859,0.01,50.0,1.5799999,0.0,4,0,4,6
205315838,0.01,50.0,1.56,0.0,4,0,4,6
205347618,0.01,50.0,1.56,0.0,4,0,4,6
205379122,0.01,50.0,1.56,0.0,4,0,4,6
205410900,0.01,50.0,1.55,0.0,4,0,4,6
205443320,0.01,50.0,1.54,0.0,4,0,4,6
205475678,0.01,50.0,1.53,0.0,4,0,4,6
205507954,0.01,50.0,1.53,0.0,4,0,4,6
205539491,0.01,50.0,1.51,0.0,4,0,4,6
205571734,0.01,50.0,1.52,0.0,4,0,4,6
205603961,0.01,50.0,1.51,0.0,4,0,4,6
205635798,0.01,50.0,1.5,0.0,4,0,4,6
205667813,0.01,50.0,1.49,0.0,4,0,4,6
205699756,0.01,50.0,1.48,0.0,4,0,4,6
205732558,0.01,50.0,1.4699999,0.0,4,0,4,6
205764883,0.01,50.0,1.48,0.0,4,0,4,6
205796354,0.01,50.0,1.4699999,0.0,4,0,4,6
205828952,0.01,50.0,1.4699999,0.0,4,0,4,6
205860628,0.01,50.0,1.4599999,0.0,4,0,4,6
205892532,0.01,50.0,1.4399999,0.0,4,0,4,6
205924574,0.01,50.0,1.4499999,0.0,4,0,4,6
205957456,0.01,50.0,1.4499999,0.0,4,0,4,6
205990323,0.01,50.0,1.4499999,0.0,4,0,4,6
206022786,0.01,50.0,1.4499999,0.0,4,0,4,6
206054947,0.01,50.0,1.4499999,0.0,4,0,4,6
206087343,0.01,50.0,1.4399999,0.0,4,0,4,6
206119357,0.01,50.0,1.4699999,0.0,4,0,4,6
206150929,0.01,50.0,1.4599999,0.0,4,0,4,6
206183376,0.01,50.0,1.49,0.0,4,0,4,6
206214927,0.01,50.0,1.49,0.0,4,0,4,6
206247361,0.01,50.0,1.5,0.0,4,0,4,6
206279362,0.01,50.0,1.5,0.0,4,0,4,6
206311317,0.01,50.0,1.5,0.0,4,0,4,6
206343360,0.01,50.0,1.53,0.0,4,0,4,6
206375105,0.01,50.0,1.53,0.0,4,0,4,6
206407350,0.01,50.0,1.54,0.0,4,0,4,6
206439080,0.01,50.0,1.54,0.0,4,0,4,6
206471335,0.01,50.0,1.56,0.0,4,0,4,6
206503364,0.01,50.0,1.53,0.0,4,0,4,6
206535349,0.01,50.0,1.54,0.0,4,0,4,6
206567512,0.01,50.0,1.54,0.0,4,0,4,6
206598885,0.01,50.0,1.55,0.0,4,0,4,6
206630934,0.01,50.0,1.53,0.0,64,0,4,6
206662876,0.01,50.0,1.55,0.0,64,0,4,6
206693766,0.01,50.0,1.55,0.0,4,0,4,6
206725940,0.01,50.0,1.56,0.0,4,0,4,6
206758160,0.01,50.0,1.55,0.0,4,0,4,6
206789785,0.01,50.0,1.56,0.0,4,0,4,6
206821868,0.01,50.0,1.56,0.0,4,0,4,6
206853940,0.01,50.0,1.56,0.0,4,0,4,6
206885870,0.01,50.0,1.5799999,0.0,4,0,4,6
206917830,0.01,50.0,1.5899999,0.0,4,0,4,6
206949738,0.01,50.0,1.5799999,0.0,4,0,4,6
206982112,0.01,50.0,1.5999999,0.0,4,0,4,6
207013939,0.01,50.0,1.63,0.0,4,0,4,6
207045403,0.01,50.0,1.65,0.0,4,0,4,6
207077800,0.01,50.0,1.67,0.0,4,0,4,6
207109812,0.01,50.0,1.6999999,0.0,4,0,4,6
207141783,0.01,50.0,1.73,0.0,4,0,4,6
207173380,0.01,50.0,1.77,0.0,4,0,4,6
207205912,0.01,50.0,1.8,0.0,4,0,4,6
207238115,0.01,50.0,1.8199999,0.0,4,0,4,6
207269957,0.01,50.0,1.87,0.0,4,0,4,6
207301934,0.01,50.0,1.93,0.0,4,0,4,6
207333912,0.01,50.0,2.0,0.0,4,0,4,6
207365999,0.01,50.0,2.05,0.0,4,0,4,6
207398009,0.01,50.0,2.12,0.0,4,0,4,6
207429744,0.01,50.0,2.18,0.0,4,0,4,6
207462104,0.01,50.0,2.23,0.0,4,0,4,6
207494555,0.01,50.0,2.32,0.0,4,0,4,6
207526636,0.01,50.0,2.3899999,0.0,4,0,4,6
207558529,0.01,50.0,2.48,0.0,4,0,4,6
207590540,0.01,50.0,2.59,0.0,4,0,4,6
207622558,0.01,50.0,2.7,0.0,4,0,4,6
207654613,0.01,50.0,2.81,0.0,4,0,4,6
207686597,0.01,50.0,2.82,0.0,4,0,4,6
207718845,0.01,50.0,2.97,0.0,64,0,4,6
207750920,0.01,50.0,3.1699998,0.0,64,0,4,6
207781928,0.01,50.0,3.32,0.0,64,0,4,6
207814040,0.01,50.0,3.46,0.0,0,0,4,6
207846146,0.01,50.0,3.61,0.0,0,0,4,6
207878076,0.01,50.0,3.73,0.0,0,0,4,6
207910077,0.01,50.0,3.8999999,0.0,4,0,4,6
207941914,0.01,50.0,4.0699997,0.0,64,0,4,6
207972749,0.01,50.0,4.23,0.0,4,0,4,6
208004604,0.01,50.0,4.41,0.0,4,0,4,6
208036750,0.01,50.0,4.61,0.0,4,0,4,6
208069540,0.01,50.0,4.81,0.0,4,0,4,6
208101837,0.01,50.0,5.24,0.0,4,0,4,6
208133910,0.01,50.0,5.5,0.0,4,0,4,6
208165909,0.01,50.0,5.6299996,0.0,4,0,4,6
208196755,0.01,50.0,5.9,0.0,4,0,4,6
208227931,0.01,50.0,6.14,0.0,4,0,4,6
208260594,0.01,50.0,6.3599997,0.0,4,0,4,6
208291824,0.01,50.0,6.5699997,0.0,4,0,4,6
208324556,0.01,50.0,6.73,0.0,4,0,4,6
208356890,0.01,50.0,6.8799996,0.0,4,0,4,6
208388446,0.01,50.0,6.99,0.0,4,0,4,6
208421112,0.01,50.0,7.1299996,0.0,4,0,4,6
208452559,0.01,50.0,7.24,0.0,4,0,4,6
208484737,0.01,50.0,7.3599997,0.0,4,0,4,6
208516949,0.01,50.0,7.46,0.0,4,0,4,6
208548652,0.01,50.0,7.52,0.0,4,0,4,6
208581130,0.01,50.0,7.5699997,0.0,4,0,4,6
208612346,0.01,50.0,7.66,0.0,4,0,4,6
208644975,0.01,50.0,7.73,0.0,4,0,4,6
208676583,0.01,50.0,7.8199997,0.0,4,0,4,6
208708419,0.01,50.0,7.85,0.0,4,0,4,6
208740326,0.01,50.0,7.89,0.0,4,0,4,6
208773538,0.01,50.0,7.98,0.0,4,0,4,6
208806667,0.01,50.0,8.07,0.0,4,0,4,6
208839325,0.01,50.0,8.179999,0.0,4,0,4,6
208871682,0.01,50.0,8.2699995,0.0,4,0,4,6
208902992,0.01,50.0,8.3,0.0,4,0,4,6
208935339,0.01,50.0,8.389999,0.0,4,0,4,6
208967075,0.01,50.0,8.41,0.0,4,0,4,6
208999130,0.01,50.0,8.53,0.0,4,0,4,6
209031349,0.01,50.0,8.58,0.0,4,0,4,6
209063341,0.01,50.0,8.58,0.0,4,0,4,6
209095354,0.01,50.0,8.599999,0.0,4,0,4,6
209127420,0.01,50.0,8.59,0.0,4,0,4,6
209159497,0.01,50.0,8.59,0.0,4,0,4,6
209191360,0.01,50.0,8.57,0.0,4,0,4,6
209223490,0.01,50.0,8.59,0.0,4,0,4,6
209255421,0.01,50.0,8.599999,0.0,4,0,4,6
