timestamp,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
212874866,0.47485247,0.0027025894,-2.1888905,0.502399,0.50460136,0.5008018,0.4697105,1.753582,-0.85157394,-0.8539772,-0.85115814,-0.8242378,-2.0633707,-0.8450165,-0.84779453,-0.84308815,-0.80490303,0.00012766002,0.075284556,0.03862667,0.044767193,0.841194
213074851,0.464922,0.002370669,-2.1856909,0.49329895,0.49539,0.49148282,0.46020398,2.0881863,-0.6694088,-0.6716423,-0.6686764,-0.64149284,-1.925333,-0.7702122,-0.7730112,-0.76788616,-0.7272148,8.1600796e-05,0.06824457,0.034726944,0.040801927,0.85614496
213274896,0.44880176,0.0025584458,-2.1865551,0.4781677,0.4801347,0.4761022,0.44458503,2.2182732,-0.7835283,-0.7855587,-0.7825813,-0.7560015,-1.8593798,-0.8419666,-0.84490585,-0.8391485,-0.794302,0.00010996506,0.060575355,0.030544536,0.0364868,0.87228334
213474851,0.43235874,0.0024408402,-2.1873558,0.46260428,0.46444914,0.46029952,0.4285883,2.6121292,-0.7179613,-0.7196312,-0.7170086,-0.69385433,-1.495821,-0.8262663,-0.8294296,-0.8227072,-0.7713175,9.497304e-05,0.05361567,0.026805872,0.03257039,0.88691306
213674854,0.38983867,0.002360639,-2.2176936,0.42086563,0.42242473,0.41820797,0.38642135,2.513918,-0.66086006,-0.6619463,-0.66038036,-0.6459875,-0.91424465,-0.8018036,-0.80474377,-0.7979069,-0.7465801,8.4450665e-05,0.048206523,0.02393597,0.029517788,0.8982553
213874851,0.42596903,0.002288012,-2.1716642,0.4575309,0.45902067,0.45472863,0.4228044,2.2501965,-0.5792103,-0.5796747,-0.5795536,-0.5764942,-0.23880768,-0.7794428,-0.7820587,-0.77547264,-0.72669315,7.409546e-05,0.044309326,0.0218868,0.027310316,0.90641946
214074851,0.46331495,0.002220385,-2.1275377,0.4951957,0.496644,0.49230546,0.46030864,1.8797741,-0.53173923,-0.5315809,-0.5331669,-0.54301834,0.54911995,-0.7075319,-0.709836,-0.70365715,-0.65823746,6.377988e-05,0.041883588,0.020616056,0.025928434,0.9115081
214274854,0.49441752,0.0022505498,-2.0908852,0.5265092,0.5279274,0.5235581,0.49153328,1.4509525,-0.46340942,-0.4625883,-0.46618843,-0.4910221,1.2864332,-0.7819958,-0.7840061,-0.77839184,-0.7371788,6.803249e-05,0.04015286,0.019710641,0.02493849,0.91513
214474851,0.51790655,0.0022204532,-2.064225,0.54987717,0.5512893,0.5469334,0.5150532,0.9209404,-0.5112171,-0.50977325,-0.5153942,-0.5551071,2.1866274,-0.68577003,-0.6875243,-0.682467,-0.645246,6.35911e-05,0.03988372,0.019556453,0.024772668,0.91572356
214674887,0.5223266,0.0021065003,-2.0564995,0.5537454,0.5551614,0.55087495,0.51943576,0.53736115,-0.44221306,-0.43997383,-0.44809914,-0.50631523,3.4246836,-0.50140524,-0.50302124,-0.4983549,-0.463655,4.8002395e-05,0.040903263,0.020061517,0.025337571,0.9136497
214874888,0.53450906,0.0020500587,-2.0415134,0.56496793,0.56639606,0.5622313,0.53154355,-0.013765335,-0.40738297,-0.404356,-0.414752,-0.48999596,4.525384,-0.38973522,-0.3911047,-0.38720655,-0.35770702,4.2839758e-05,0.04302815,0.02113216,0.026526006,0.9092709
215674854,0.41941214,0.0017934537,-2.1410735,0.44323727,0.44481793,0.44145814,0.41602352,-3.7986078,-0.32333374,-0.31798172,-0.33236694,-0.44102287,8.242756,-0.13119078,-0.13027,-0.13220525,-0.14521742,3.4750028e-05,0.060021598,0.02984799,0.035973817,0.8741219
215874864,0.39921167,0.0016973455,-2.1539252,0.42128396,0.4228276,0.41968924,0.39583465,-4.658345,-0.20845604,-0.20300674,-0.21673203,-0.3214836,8.889375,-0.047303915,-0.045862675,-0.048789024,-0.06955814,3.063281e-05,0.06387942,0.03184184,0.038104314,0.8661438
216074851,0.38237727,0.0016167847,-2.1620634,0.4026438,0.4041335,0.40122628,0.37906876,-5.748823,-0.19827461,-0.1925621,-0.20637512,-0.31238365,9.990395,0.06010294,0.061978817,0.05829358,0.031602383,3.0145788e-05,0.06751637,0.033719547,0.040106345,0.85862756
216274887,0.361128,0.0015330791,-2.1723478,0.37979874,0.38121748,0.37851802,0.35797158,-6.6629553,-0.12090492,-0.11524773,-0.12845802,-0.23019981,10.872049,0.16236407,0.16453326,0.160416,0.13019693,2.9068915e-05,0.06955556,0.034750924,0.041227553,0.85443693
216474851,0.33140326,0.001478485,-2.190954,0.34853148,0.34988046,0.34738433,0.32841104,-7.643545,-0.17635155,-0.17090034,-0.18344307,-0.28007126,11.789193,0.30700547,0.30932587,0.30501783,0.27322125,3.19061e-05,0.07156567,0.035762258,0.042323694,0.85031646
216674895,0.28297406,0.0014134077,-2.2279823,0.29863334,0.29991382,0.29761294,0.28015774,-8.622752,-0.18502045,-0.17970467,-0.1917572,-0.2845993,12.801323,0.34976304,0.35216248,0.34781277,0.31559545,3.281991e-05,0.073369004,0.036662176,0.043300867,0.84663516
216874902,0.20987603,0.0013874853,-2.2877936,0.22425358,0.22545494,0.2233278,0.20730455,-9.397655,-0.11339569,-0.10821152,-0.11983299,-0.20929527,14.163984,0.56308734,0.56539476,0.5613091,0.53101635,3.9608305e-05,0.073195174,0.03650313,0.04319252,0.8470696
217074852,0.12450079,0.001385812,-2.3609118,0.13766654,0.1387955,0.13683434,0.12215285,-10.075379,-0.16208649,-0.15721321,-0.16826439,-0.25282288,15.415512,0.6921849,0.69424057,0.69063306,0.6640043,4.9302733e-05,0.07326304,0.03647221,0.043209627,0.8470058
217274941,0.042249538,0.0013478296,-2.431754,0.054308932,0.05536855,0.053560175,0.040103182,-10.587374,-0.14857101,-0.14396477,-0.15447807,-0.23452568,16.69771,0.7290547,0.7308121,0.7277677,0.70540357,5.2253235e-05,0.073292,0.036425978,0.0432052,0.8470246
217474851,-0.032355405,0.001338711,-2.4953585,-0.021286309,-0.020296326,-0.021965696,-0.03430241,-10.935099,-0.09314346,-0.08875275,-0.09882736,-0.1751442,18.19692,0.8073964,0.8088064,0.8063979,0.78880596,5.9218863e-05,0.07284692,0.036135163,0.042944834,0.8480138
