timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
122212400,0.10400836,-0.015830573,0.16150396,-0.98124826,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122217364,0.103789814,-0.015173041,0.16147608,-0.9812864,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122222347,0.10358824,-0.014729545,0.16120069,-0.9813597,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122227347,0.103340246,-0.013815375,0.16125454,-0.9813903,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122232400,0.1031195,-0.013532126,0.16087519,-0.98147976,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122237347,0.10285655,-0.01262361,0.16091014,-0.98151374,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122242347,0.10263255,-0.012203653,0.16078258,-0.9815634,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122247372,0.10237799,-0.011556072,0.16070755,-0.9816101,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122252396,0.10211491,-0.010798804,0.16080585,-0.98163,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122257394,0.10187145,-0.010483642,0.16055973,-0.98169905,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122262347,0.10160169,-0.00959411,0.16077222,-0.9817013,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122267390,0.10137663,-0.0093245935,0.16063179,-0.9817502,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122272409,0.101112254,-0.008529936,0.16074888,-0.9817655,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122277350,0.100859806,-0.008056718,0.1607969,-0.9817875,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122282347,0.100602776,-0.0075231907,0.16074966,-0.98182595,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122287347,0.10033791,-0.006794153,0.1610055,-0.9818164,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122292396,0.10009626,-0.0064984914,0.16085501,-0.9818677,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122297350,0.09979478,-0.005660525,0.16107889,-0.98186696,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122302347,0.09954393,-0.005406022,0.160921,-0.98191965,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122307351,0.09924375,-0.0046977038,0.16099845,-0.981941,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122312396,0.098969035,-0.0042350036,0.16099656,-0.98197114,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122317377,0.098672666,-0.0038295698,0.16086216,-0.9820247,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122322347,0.0983474,-0.003069632,0.16094632,-0.9820462,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122327347,0.098054454,-0.0028660225,0.1606737,-0.9821207,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122332358,0.09771804,-0.0020147243,0.16078763,-0.9821378,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122337350,0.09741637,-0.0017600383,0.16059802,-0.98219925,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122342347,0.09706187,-0.001130605,0.16049823,-0.9822516,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122347347,0.09672327,-0.0006171887,0.1604118,-0.98229957,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122352396,0.09638811,-0.00027140032,0.1601179,-0.98238057,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122357347,0.09601158,0.0004772764,0.16009727,-0.98242074,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122362391,0.09566383,0.00071453914,0.1597086,-0.9825178,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122367349,0.095278375,0.0014697578,0.1596338,-0.98256654,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122372396,0.09491532,0.0017754838,0.15926202,-0.9826615,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
