timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,state_of_health,max_error,connected,source,priority,id,is_powering_off,warning
112625532,21.344599,21.352642,0.0,0.0,0.0,0.0,0.3175462,1.0884289,nan,6,3.5587738,3.5587738,3.5587738,3.5587738,3.5587738,3.5587738,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
112925523,21.4266,21.360172,0.0,0.0,0.0,0.0,0.32005626,1.0880749,nan,6,3.5600288,3.5600288,3.5600288,3.5600288,3.5600288,3.5600288,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
113225269,21.3774,21.35526,0.0,0.0,0.0,0.0,0.3184188,1.0883058,nan,6,3.55921,3.55921,3.55921,3.55921,3.55921,3.55921,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
113525230,21.197,21.3525,0.0,0.0,0.0,0.0,0.31749898,1.0884355,nan,6,3.5587502,3.5587502,3.5587502,3.5587502,3.5587502,3.5587502,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
113825492,21.5168,21.365753,0.0,0.0,0.0,0.0,0.3219164,1.0878129,nan,6,3.5609589,3.5609589,3.5609589,3.5609589,3.5609589,3.5609589,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
114125221,21.492199,21.398262,0.0,0.0,0.0,0.0,0.33275253,1.0862885,nan,6,3.566377,3.566377,3.566377,3.566377,3.566377,3.566377,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
114425497,21.607,21.434164,0.0,0.0,0.0,0.0,0.34472018,1.0846099,nan,6,3.5723608,3.5723608,3.5723608,3.5723608,3.5723608,3.5723608,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
114725583,21.639801,21.46896,0.0,0.0,0.0,0.0,0.3543437,1.0832638,nan,6,3.57816,3.57816,3.57816,3.57816,3.57816,3.57816,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
115025504,23.5258,21.91903,0.0,0.0,0.0,0.0,0.45921785,1.0688087,nan,6,3.6531715,3.6531715,3.6531715,3.6531715,3.6531715,3.6531715,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
115325545,23.616,22.342567,0.0,0.0,0.0,0.0,0.550412,1.056549,nan,6,3.7237613,3.7237613,3.7237613,3.7237613,3.7237613,3.7237613,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
115625237,23.632399,22.665531,0.0,0.0,0.0,0.0,0.620817,1.0472748,nan,6,3.7775886,3.7775886,3.7775886,3.7775886,3.7775886,3.7775886,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
115925470,23.632399,22.91291,0.0,0.0,0.0,0.0,0.6756399,1.0401652,nan,6,3.8188183,3.8188183,3.8188183,3.8188183,3.8188183,3.8188183,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
116225585,23.616,23.099186,0.0,0.0,0.0,0.0,0.71722776,1.034836,nan,6,3.8498642,3.8498642,3.8498642,3.8498642,3.8498642,3.8498642,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
116525499,23.5422,23.237192,0.0,0.0,0.0,0.0,0.7497118,1.0307113,nan,6,3.8728654,3.8728654,3.8728654,3.8728654,3.8728654,3.8728654,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
116825226,23.5258,23.314383,0.0,0.0,0.0,0.0,0.77267724,1.027815,nan,6,3.8857305,3.8857305,3.8857305,3.8857305,3.8857305,3.8857305,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
