timestamp,armed_time_ms,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
180205536,65333,1,1,1,0,0,0,0,0
180713201,65333,1,1,1,0,0,0,0,0
181216321,65333,1,1,1,0,0,0,0,0
181718177,65333,1,1,1,0,0,0,0,0
182223219,65333,1,1,1,0,0,0,0,0
182727577,65333,1,1,1,0,0,0,0,0
183231562,65333,1,1,1,0,0,0,0,0
185245524,65333,1,1,1,0,0,0,0,0
185747178,65333,1,1,1,0,0,0,0,0
186251400,65333,1,1,1,0,0,0,0,0
186753310,65333,1,1,1,0,0,0,0,0
187254170,65333,1,1,1,0,0,0,0,0
187758215,65333,1,1,1,0,0,0,0,0
188262235,65333,1,1,1,0,0,0,0,0
188765432,65333,1,1,1,0,0,0,0,0
189267233,65333,1,1,1,0,0,0,0,0
189771713,65333,1,1,1,0,0,0,0,0
190282289,65333,1,1,1,0,0,0,0,0
190782399,65333,1,1,1,0,0,0,0,0
191285453,65333,1,1,1,0,0,0,0,0
191791798,65333,1,1,1,0,0,0,0,0
192293174,65333,1,1,1,0,0,0,0,0
192796608,65333,1,1,1,0,0,0,0,0
193305518,65333,1,1,1,0,0,0,0,0
193807292,65333,1,1,1,0,0,0,0,0
194311992,65333,1,1,1,0,0,0,0,0
194814223,65333,1,1,1,0,0,0,0,0
195316454,65333,1,1,1,0,0,0,0,0
197325547,65333,1,1,1,0,0,0,0,0
197827216,65333,1,1,1,0,0,0,0,0
198329294,65333,1,1,1,0,0,0,0,0
198833327,65333,1,1,1,0,0,0,0,0
199336442,65333,1,1,1,0,0,0,0,0
199838226,65333,1,1,1,0,0,0,0,0
200338222,65333,1,1,1,0,0,0,0,0
200845320,65333,1,1,1,0,0,0,0,0
201347214,65333,1,1,1,0,0,0,0,0
201856665,65333,1,1,1,0,0,0,0,0
202357310,65333,1,1,1,0,0,0,0,0
202863270,65333,1,1,1,0,0,0,0,0
203367171,65333,1,1,1,0,0,0,0,0
203871635,65333,1,1,1,0,0,0,0,0
204382287,65333,1,1,1,0,0,0,0,0
204886196,65333,1,1,1,0,0,0,0,0
205391618,65333,1,1,1,0,0,0,0,0
205896320,65333,1,1,1,0,0,0,0,0
206398216,65333,1,1,1,0,0,0,0,0
206902282,65333,1,1,1,0,0,0,0,0
207405456,65333,1,1,1,0,0,0,0,0
208916330,65333,1,1,1,0,0,0,0,0
209418317,65333,1,1,1,0,0,0,0,0
209923218,65333,1,1,1,0,0,0,0,0
210425415,65333,1,1,1,0,0,0,0,0
210927228,65333,1,1,1,0,0,0,0,0
211431724,65333,1,1,1,0,0,0,0,0
211933284,65333,1,1,1,0,0,0,0,0
212435213,65333,1,1,1,0,0,0,0,0
212941430,65333,1,1,1,0,0,0,0,0
213447174,65333,1,1,1,0,0,0,0,0
213952045,65333,1,1,1,0,0,0,0,0
214452566,65333,1,1,1,0,0,0,0,0
214953176,65333,1,1,1,0,0,0,0,0
215456545,65333,1,1,1,0,0,0,0,0
215958234,65333,1,1,1,0,0,0,0,0
216463226,65333,1,1,1,0,0,0,0,0
216965572,65333,1,1,1,0,0,0,0,0
217467716,65333,1,1,1,0,0,0,0,0
217971575,65333,1,1,1,0,0,0,0,0
218474175,65333,1,1,1,0,0,0,0,0
218976324,65333,1,1,1,0,0,0,0,0
219982174,65333,1,1,1,0,0,0,0,0
220485353,65333,1,1,1,0,0,0,0,0
220987249,65333,1,1,1,0,0,0,0,0
221492413,65333,1,1,1,0,0,0,0,0
222494225,65333,1,1,1,0,0,0,0,0
222998173,65333,1,1,1,0,0,0,0,0
223503176,65333,1,1,1,0,0,0,0,0
224007175,65333,1,1,1,0,0,0,0,0
224512652,65333,1,1,1,0,0,0,0,0
225013176,65333,1,1,1,0,0,0,0,0
225518242,65333,1,1,1,0,0,0,0,0
226022689,65333,1,1,1,0,0,0,0,0
228036427,65333,1,1,1,0,0,0,0,0
228538236,65333,1,1,1,0,0,0,0,0
229042350,65333,1,1,1,0,0,0,0,0
229547302,65333,1,1,1,0,0,0,0,0
230051651,65333,1,1,1,0,0,0,0,0
230556553,65333,1,1,1,0,0,0,0,0
231058281,65333,1,1,1,0,0,0,0,0
231571723,65333,1,1,1,0,0,0,0,0
232073175,65333,1,1,1,0,0,0,0,0
232575124,65333,1,1,1,0,0,0,0,0
233083201,65333,1,1,1,0,0,0,0,0
233587233,65333,1,1,1,0,0,0,0,0
234094202,65333,1,1,1,0,0,0,0,0
234596325,65333,1,1,1,0,0,0,0,0
235098173,65333,1,1,1,0,0,0,0,0
235603173,65333,1,1,1,0,0,0,0,0
236105485,65333,1,1,1,0,0,0,0,0
236607179,65333,1,1,1,0,0,0,0,0
237118184,65333,1,1,1,0,0,0,0,0
237625626,65333,1,1,1,0,0,0,0,0
238127243,65333,1,1,1,0,0,0,0,0
238631712,65333,1,1,1,0,0,0,0,0
239134175,65333,1,1,1,0,0,0,0,0
239636319,65333,1,1,1,0,0,0,0,0
240138221,65333,1,1,1,0,0,0,0,0
240642327,65333,1,1,1,0,0,0,0,0
241145394,65333,1,1,1,0,0,0,0,0
241645416,65333,1,1,1,0,0,0,0,0
242148442,65333,1,1,1,0,0,0,0,0
243656613,65333,1,1,1,0,0,0,0,0
244162379,65333,1,1,1,0,0,0,0,0
244668091,65333,1,1,1,0,0,0,0,0
245173228,65333,1,1,1,0,0,0,0,0
245676483,65333,1,1,1,0,0,0,0,0
246178232,65333,1,1,1,0,0,0,0,0
246683271,65333,1,1,1,0,0,0,0,0
247186285,65333,1,1,1,0,0,0,0,0
247688592,65333,1,1,1,0,0,0,0,0
248702194,65333,1,1,1,0,0,0,0,0
249205303,65333,1,1,1,0,0,0,0,0
249711659,65333,1,1,1,0,0,0,0,0
250213172,65333,1,1,1,0,0,0,0,0
250716644,65333,1,1,1,0,0,0,0,0
251227192,65333,1,1,1,0,0,0,0,0
251734188,65333,1,1,1,0,0,0,0,0
252236439,65333,1,1,1,0,0,0,0,0
252738248,65333,1,1,1,0,0,0,0,0
253242451,65333,1,1,1,0,0,0,0,0
253745466,65333,1,1,1,0,0,0,0,0
254247256,65333,1,1,1,0,0,0,0,0
256258366,65333,1,1,1,0,0,0,0,0
256762300,65333,1,1,1,0,0,0,0,0
257265348,65333,1,1,1,0,0,0,0,0
257774189,65333,1,1,1,0,0,0,0,0
258276570,65333,1,1,1,0,0,0,0,0
258778225,65333,1,1,1,0,0,0,0,0
259285279,65333,1,1,1,0,0,0,0,0
259787180,65333,1,1,1,0,0,0,0,0
260291307,65333,1,1,1,0,0,0,0,0
260793232,65333,1,1,1,0,0,0,0,0
261296476,65333,1,1,1,0,0,0,0,0
261798186,65333,1,1,1,0,0,0,0,0
262302667,65333,1,1,1,0,0,0,0,0
262805588,65333,1,1,1,0,0,0,0,0
263311686,65333,1,1,1,0,0,0,0,0
263813365,65333,1,1,1,0,0,0,0,0
264316439,65333,1,1,1,0,0,0,0,0
264818375,65333,1,1,1,0,0,0,0,0
265323049,65333,1,1,1,0,0,0,0,0
265833359,65333,1,1,1,0,0,0,0,0
266336608,65333,1,1,1,0,0,0,0,0
266842469,65333,1,1,1,0,0,0,0,0
267345526,65333,1,1,1,0,0,0,0,0
267853166,65333,1,1,1,0,0,0,0,0
268362089,65333,1,1,1,0,0,0,0,0
268865504,65333,1,1,1,0,0,0,0,0
269376429,65333,1,1,1,0,0,0,0,0
269878231,65333,1,1,1,0,0,0,0,0
270385477,65333,1,1,1,0,0,0,0,0
270887986,65333,1,1,1,0,0,0,0,0
271392397,65333,1,1,1,0,0,0,0,0
271902379,65333,1,1,1,0,0,0,0,0
272405592,65333,1,1,1,0,0,0,0,0
272905692,65333,1,1,1,0,0,0,0,0
273407174,65333,1,1,1,0,0,0,0,0
273916422,65333,1,1,1,0,0,0,0,0
274416444,65333,1,1,1,0,0,0,0,0
274916610,65333,1,1,1,0,0,0,0,0
275418206,65333,1,1,1,0,0,0,0,0
277442443,65333,1,1,1,0,0,0,0,0
277946173,65333,1,1,1,0,0,0,0,0
278452598,65333,1,1,1,0,0,0,0,0
278954216,65333,1,1,1,0,0,0,0,0
279456509,65333,1,1,1,0,0,0,0,0
279958272,65333,1,1,1,0,0,0,0,0
280462370,65333,1,1,1,0,0,0,0,0
280965422,65333,1,1,1,0,0,0,0,0
281467172,65333,1,1,1,0,0,0,0,0
281971685,65333,1,1,1,0,0,0,0,0
282473982,65333,1,1,1,0,0,0,0,0
282976677,65333,1,1,1,0,0,0,0,0
283478231,65333,1,1,1,0,0,0,0,0
283991787,65333,1,1,1,0,0,0,0,0
284495233,65333,1,1,1,0,0,0,0,0
284998230,65333,1,1,1,0,0,0,0,0
285502208,65333,1,1,1,0,0,0,0,0
286005419,65333,1,1,1,0,0,0,0,0
286507243,65333,1,1,1,0,0,0,0,0
287013283,65333,1,1,1,0,0,0,0,0
289036475,65333,1,1,1,0,0,0,0,0
289547251,65333,1,1,1,0,0,0,0,0
290051949,65333,1,1,1,0,0,0,0,0
290553434,65333,1,1,1,0,0,0,0,0
291056598,65333,1,1,1,0,0,0,0,0
291558234,65333,1,1,1,0,0,0,0,0
292062087,65333,1,1,1,0,0,0,0,0
292565402,65333,1,1,1,0,0,0,0,0
293073188,65333,1,1,1,0,0,0,0,0
293578174,65333,1,1,1,0,0,0,0,0
294083217,65333,1,1,1,0,0,0,0,0
