timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
426603523,27,0,84,90,100,43,61
427656631,27,0,88,93,95,44,60
428677901,27,0,80,89,98,48,59
429738073,28,0,76,81,97,48,62
430640759,28,0,73,78,100,45,60
431697323,28,0,72,83,90,44,64
432626501,28,0,77,84,100,47,59
433647633,28,0,75,83,100,50,63
434613534,28,0,76,84,100,41,60
435633444,28,0,76,85,97,43,61
436670385,28,0,77,83,99,41,61
439700882,29,0,74,81,100,44,61
440602375,29,0,73,83,98,44,63
442687384,32,0,68,79,100,44,63
443600604,32,0,68,78,99,44,60
444647666,32,0,75,79,97,45,61
445677519,32,0,76,85,100,46,65
446600794,32,0,87,89,100,45,58
447690389,32,0,81,86,99,45,65
448678379,32,0,86,90,100,45,65
449626920,32,0,97,100,98,41,60
450660670,32,0,104,110,100,50,69
451690752,32,0,89,94,97,45,60
452611565,32,0,71,88,100,31,62
453668509,32,0,77,83,100,33,57
454603624,32,0,84,92,100,31,58
455626167,32,0,81,87,94,30,54
456656715,32,0,87,88,100,34,58
